Date,Close,Total Shares,Market Cap,Company
2018-01-02,153.83999633789062,8561500.0,1317101128.6468506,ACN
2018-01-03,154.5500030517578,8561500.0,1323179851.1276245,ACN
2018-01-04,156.3800048828125,8561500.0,1338847411.8041992,ACN
2018-01-05,157.6699981689453,8561500.0,1349891689.3234253,ACN
2018-01-08,158.92999267578125,8561500.0,1360679132.2937012,ACN
2018-01-09,159.4600067138672,8561500.0,1365216847.480774,ACN
2018-01-10,158.89999389648438,8561500.0,1360422297.744751,ACN
2018-01-11,159.11000061035156,8561500.0,1362220270.225525,ACN
2018-01-12,160.11000061035156,8561500.0,1370781770.225525,ACN
2018-01-16,157.9600067138672,8561500.0,1352374597.480774,ACN
2018-01-17,160.2100067138672,8561500.0,1371637972.480774,ACN
2018-01-18,160.94000244140625,8561500.0,1377887830.9020996,ACN
2018-01-19,161.75,8561500.0,1384822625.0,ACN
2018-01-22,161.42999267578125,8561500.0,1382082882.2937012,ACN
2018-01-23,160.8800048828125,8561500.0,1377374161.8041992,ACN
2018-01-24,160.60000610351562,8561500.0,1374976952.255249,ACN
2018-01-25,160.7899932861328,8561500.0,1376603527.519226,ACN
2018-01-26,162.5500030517578,8561500.0,1391671851.1276245,ACN
2018-01-29,161.19000244140625,8561500.0,1380028205.9020996,ACN
2018-01-30,159.6999969482422,8561500.0,1367271523.8723755,ACN
2018-01-31,160.6999969482422,8561500.0,1375833023.8723755,ACN
2018-02-01,160.4600067138672,8561500.0,1373778347.480774,ACN
2018-02-02,156.89999389648438,8561500.0,1343299297.744751,ACN
2018-02-05,151.8300018310547,8561500.0,1299892560.6765747,ACN
2018-02-06,154.69000244140625,8561500.0,1324378455.9020996,ACN
2018-02-07,155.14999389648438,8561500.0,1328316672.744751,ACN
2018-02-08,150.50999450683594,8561500.0,1288591317.9702759,ACN
2018-02-09,153.83999633789062,8561500.0,1317101128.6468506,ACN
2018-02-12,154.9499969482422,8561500.0,1326604398.8723755,ACN
2018-02-13,156.83999633789062,8561500.0,1342785628.6468506,ACN
2018-02-14,159.7899932861328,8561500.0,1368042027.519226,ACN
2018-02-15,161.05999755859375,8561500.0,1378915169.0979004,ACN
2018-02-16,162.66000366210938,8561500.0,1392613621.3531494,ACN
2018-02-20,161.44000244140625,8561500.0,1382168580.9020996,ACN
2018-02-21,160.4600067138672,8561500.0,1373778347.480774,ACN
2018-02-22,160.32000732421875,8561500.0,1372579742.7062988,ACN
2018-02-23,162.9499969482422,8561500.0,1395096398.8723755,ACN
2018-02-26,164.74000549316406,8561500.0,1410421557.0297241,ACN
2018-02-27,162.5500030517578,8561500.0,1391671851.1276245,ACN
2018-02-28,161.00999450683594,8561500.0,1378487067.9702759,ACN
2018-03-01,156.14999389648438,8561500.0,1336878172.744751,ACN
2018-03-02,157.5,8561500.0,1348436250.0,ACN
2018-03-05,158.85000610351562,8561500.0,1359994327.255249,ACN
